team,opponent_team,date,site,incident,time,var_used,incident_type
Brighton & Hove Albion,West Ham,Aug. 17,H,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",27th minute,AGAINST,Offside
Brighton & Hove Albion,Aston Villa,Oct. 19,A,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,42nd minute,FOR,Foul
Brighton & Hove Albion,Everton,Oct. 26,H,Penalty awarded (scored by Neil Maupay) for foul on Aaron Connolly by Michael Keane,78th minute,FOR,Penalty
Brighton & Hove Albion,Leicester,Nov. 23,H,Jamie Vardy penalty retaken after James Maddison scored the rebound with encroachment,80th minute,FOR,Penalty
Brighton & Hove Albion,Arsenal ,Dec. 5,A,David Luiz goal disallowed for offside,63rd minute,FOR,Offside
Brighton & Hove Albion,Sheffield United ,Dec. 21,H,John Egan goal ruled out for handball,8th minute,FOR,Handball
Brighton & Hove Albion,Sheffield United ,Dec. 21,H,Jack O'Connell goal disallowed for offside,54th minute,FOR,Offside
Brighton & Hove Albion,Tottenham,Dec. 26,A,Harry Kane goal ruled out for offside,24th minute,FOR,Offside
Brighton & Hove Albion,Bournemouth,Dec. 28,H,Dan Burn goal ruled out for offside,58th minute,AGAINST,Offside
Brighton & Hove Albion,Everton,Jan. 11,A,Goal for Dominic Calvert-Lewin ruled out for handball,75th minute,FOR,Handball
Brighton & Hove Albion,West Ham,Feb. 1,A,Goal for Glenn Murray allowed after incorrect handball,79th minute,FOR,Handball
Brighton & Hove Albion,Burnley,July 26,A,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,57th minute,FOR,Offside
Manchester United,Arsenal,Sept. 30,H,"Pierre-Emerick Aubameyang goal, originally ruled out for offside, overturned on review",58th minute,AGAINST,Offside
Manchester United,Liverpool,Oct. 20,H,Sadio Mane goal ruled out for handball,43rd minute,FOR,Handball
Manchester United,Norwich,Oct. 27,A,Penalty awarded (missed by Marcus Rashford) for foul on Daniel James by Ben Godfrey,25th minute,FOR,Penalty
Manchester United,Norwich,Oct. 27,A,Penalty awarded (missed by Anthony Martial) for handball by Todd Cantwell,41st minute,FOR,Penalty
Manchester United,Man City,Dec. 7,A,Penalty awarded (scored by Marcus Rashford) for foul on Rashford by Bernardo Silva,23rd minute,FOR,Penalty
Manchester United,Liverpool,Jan. 19,A,Roberto Firmino goal disallowed for foul on David De Gea by Virgil van Dijk,25th minute,FOR,Foul
Manchester United,Chelsea,Feb. 17,A,Kurt Zouma goal disallowed for foul on Brandon Williams by Cesar Azpilicueta,55th minute,FOR,Foul
Manchester United,Chelsea,Feb. 17,A,Olivier Giroud goal disallowed for offside,77th minute,FOR,Offside
Manchester United,Watford,Feb. 23,H,Goal for Troy Deeney disallowed for handball by Craig Dawson,52nd minute,FOR,Handball
Manchester United,Everton,March 1,A,Goal for Everton disallowed for offside against Gylfi Sigurdsson in front of David De Gea,92nd minute,FOR,Offside
Manchester United,Tottenham,June 19,A,Penalty awarded for a foul on Bruno Fernandes overturned,91st minute,AGAINST,Penalty
Manchester United,Crystal Palace,July,A,Jordan Ayew goal disallowed for offside,55th minute,FOR,Offside
Manchester United,West Ham,July 22,H,Penalty awarded for a handball by Paul Pogba (scored by Michael Antonio),45th minute,AGAINST,Penalty
Crystal Palace,West Ham,Oct. 5,A,Jordan Ayew goal awarded after originally being ruled out for offside,87th minute,FOR,Offside
Crystal Palace,Arsenal,Oct. 27,A,Penalty awarded for foul by Calum Chambers on Wilfried Zaha (initially booked for diving),32nd minute,FOR,Penalty
Crystal Palace,Arsenal,Oct. 27,A,Sokratis goal disallowed for foul by Calum Chambers,83rd minute,FOR,Foul
Crystal Palace,Liverpool,Nov. 23,H,James Tomkins goal ruled out for push by Jordan Ayew,43rd minute,AGAINST,Other
Crystal Palace,Southampton,Dec. 28,A,Goal for Max Meyer ruled out for offside by Wilfried Zaha in the build-up,15th minute,AGAINST,Offside
Crystal Palace,Norwich,Jan. 1,A,Connor Wickham goal awarded after originally being ruled out for offside,85th minute,FOR,Offside
Crystal Palace,Arsenal,Jan. 11,H,Pierre-Emerick Aubameyang sent off for foul on Max Meyer,65th minute,FOR,Foul
Crystal Palace,Manchester City,Jan. 18,A,Penalty for handball against Jairo Riedewald cancelled,72nd minute,FOR,Penalty
Crystal Palace,Sheffield United,Feb. 1,H,Red card for Joel Ward rescinded,74th minute,FOR,Red Card
Crystal Palace,Aston Villa,July 12,A,Mamadou Sakho goal ruled out for handball,7th minute,AGAINST,Handball
Crystal Palace,Aston Villa,July 12,A,"Penalty cancelled, awarded for foul on Jack Grealish by Patrick van Aanholt",47th minute,FOR,Penalty
Crystal Palace,Man United,July,H,Jordan Ayew goal disallowed for offside,55th minute,AGAINST,Offside
Burnley,Aston Villa,Sept. 28,A,"Goal for Villa's John McGinn ruled out on review, Conor Hourihane offside in build-up",25th minute,FOR,Offside
Burnley,Leicester,Oct. 21,A,Jonny Evans own goal ruled out due to a foul by Chris Wood,80th minute,AGAINST,Foul
Burnley,Chelsea,Oct. 26,H,Penalty overturned for diving by Callum Hudson-Odoi,76th minute,FOR,Penalty
Burnley,West Ham,Nov. 9,H,Chris Wood goal disallowed for offside,36th minute,AGAINST,Offside
Burnley,Watford,Nov. 23,A,Penalty (scored by Barnes) awarded for foul on Ashley Barnes by Jose Holebas,80th minute,FOR,Penalty
Burnley,Aston Villa,Jan. 1,H,"Goal for Villa's Jack Grealish ruled out on review, Wesley offside in build-up",11th minute,FOR,Offside
Burnley,Bournemouth,Feb. 22,H,Goal for Josh King ruled out for handball in build-up by Philip Billing,22nd minute,FOR,Handball
Burnley,Bournemouth,Feb. 22,H,"Goal for Harry Wilson ruled out for handball by Bournemouth's Adam Smith, penalty awarded and scored by Jay Rodriguez",57th minute,FOR,Penalty
Burnley,Man City,June 22,A,Penalty given (scored by Riyad Mahrez) for a foul by Ben Mee on Sergio Aguero,45th minute,AGAINST,Penalty
Burnley,Norwich,July 18,A,Red card for Emiliano Buendia for an elbow on Ashley Westwood,33rd minute,FOR,Red Card
Burnley,Brighton,July 26,H,Jay Rodriguez goal ruled out for offside against Johann Berg Gudmundsson,57th minute,AGAINST,Offside
Newcastle,Sheffield United,Dec. 5,A,"Jonjo Shelvey goal, originally ruled out for offside, cleared by the VAR",70th minute,FOR,Offside
Newcastle,Southampton,March 7,A,Moussa Djenepo sent off for challenge on Isaac Hayden,28th minute,FOR,Other
Newcastle,Southampton,March 7,A,Penalty awarded for handball by Sofiane Boufal,40th minute,FOR,Penalty
Southampton,Sheffield United,Sept. 14,A,Oliver McBurnie's goal disallowed for offside,52nd minute,FOR,Offside
Southampton,AFC Bournemouth,Sept. 20,H,"Josh King scored for the Cherries, but he was offside",25th minute,FOR,Offside
Southampton,Wolves,Oct. 19,A,Raul Jimenez goal ruled out for offside against Patrick Cutrone,42nd minute,FOR,Offside
Southampton,Leicester,Oct. 25,H,Ryan Bertrand sent off for challenge on Ayoze Perez,12th minute,AGAINST,Other
Southampton,West Ham,Dec. 14,H,Goal for Michail Antonio ruled out for handball,52nd minute,FOR,Handball
Southampton,Crystal Palace,Dec. 28,H,Goal for Max Meyer ruled out for offside by Wilfried Zaha in the build-up,15th minute,FOR,Offside
Southampton,Leicester,Jan. 11,A,Penalty for Southampton cancelled for offside against Shane Long in build-up,63rd minute,AGAINST,Offside
Southampton,Leicester,Jan. 11,A,Jonny Evans goal ruled out for offside,90th minute,FOR,Offside
Southampton,Wolves,Jan. 18,H,Penalty awarded (scored by Raul Jimenez) for foul on Jonny by Jack Stephens,65th minute,AGAINST,Penalty
Southampton,Newcastle,March 7,H,Moussa Djenepo sent off for challenge on Isaac Hayden,28th minute,AGAINST,Other
Southampton,Newcastle,March 7,H,Penalty awarded (missed by Matt Ritchie) for handball by Sofiane Boufal,40th minute,AGAINST,Penalty
Southampton,Bournemouth,July 19,A,Penalty awarded (missed by Danny Ings) for handball by Harry Wilson,57th minute,FOR,Penalty
Southampton,Bournemouth,July 19,A,"Sam Surridge goal disallowed, Callum Wilson offside",94th minute,FOR,Offside
Liverpool,Chelsea,Sept. 22,A,Chelsea goal ruled out after Mason Mount was offside in the build-up to Cesar Azpilicueta's goal,27th minute,FOR,Offside
Liverpool,Man United,Oct. 20,A,Sadio Mane goal ruled out for handball,43rd minute,AGAINST,Handball
Liverpool,Crystal Palace,Nov. 23,A,James Tomkins goal ruled out for push by Jordan Ayew,43rd minute,FOR,Other
Liverpool,Watford,Dec. 14,H,Sadio Mane goal ruled out for offside,51st minute,AGAINST,Offside
Liverpool,Wolves,Dec. 29,H,Goal for Sadio Mane given after originally ruled out for handball by Adam Lallana,42nd minute,FOR,Handball
Liverpool,Wolves,Dec. 29,H,Goal for Pedro Neto ruled out for offside in the build-up by Jonny,45th minute,FOR,Offside
Liverpool,Man United,Jan. 19,H,Roberto Firmino goal disallowed for foul on David De Gea by Virgil van Dijk,25th minute,AGAINST,Foul
Liverpool,Man City,July 2,A,City goal for Riyad Mahrez ruled out for handball by Phil Foden in the build-up,90th minute,FOR,Handball
Leicester City,Wolves,Aug. 11,H,Wolves goal for Leander Dendoncker disallowed for handball in build-up by Willy Boly,51st minute,FOR,Handball
Leicester City,Tottenham,Sept. 21,H,Goal disallowed for offside against Ayoze Perez,16th minute,AGAINST,Offside
Leicester City,Tottenham,Sept. 21,H,Son Heung-Min offside in build-up to Serge Aurier goal,64th minute,FOR,Offside
Leicester City,Burnley,Oct. 21,H,Jonny Evans own goal ruled out due to a foul by Chris Wood,80th minute,FOR,Foul
Leicester City,Southampton,Oct. 25,A,Ryan Bertrand sent off for challenge on Ayoze Perez,12th minute,FOR,Other
Leicester City,Brighton,Nov. 23,A,Jamie Vardy penalty retaken after James Maddison scored the rebound with encroachment,80th minute,AGAINST,Penalty
Leicester City,Everton,Dec. 1,H,Penalty for foul on Ben Chilwell by Mason Holgate cancelled,34th minute,AGAINST,Penalty
Leicester City,Everton,Dec. 1,H,"Kelechi Iheanacho effort, originally ruled offside, given as a goal",94th minute,FOR,Offside
Leicester City,Southampton,Jan. 11,H,Penalty for Southampton cancelled for offside against Shane Long in build-up,63rd minute,FOR,Offside
Leicester City,Southampton,Jan. 11,H,Jonny Evans goal ruled out for offside,90th minute,AGAINST,Offside
Leicester City,Wolves,Feb. 14,A,Wolves goal for Willy Boly disallowed for offside in build-up by Pedro Neto,44th minute,FOR,Offside
Leicester City,Man City,Feb. 22,H,Penalty (missed by Sergio Aguero) awarded for handball against Dennis Praet,minute,AGAINST,Penalty
Leicester City,Norwich,Feb. 28,A,Goal for Kelechi Iheanacho disallowed for handball,49th minute,AGAINST,Handball
Leicester City,Everton,July 1,A,Penalty awarded (scored by Gylfi Sigurdsson) for handball against Wilfred Ndidi,13th minute,AGAINST,Penalty
Leicester City,Arsenal,July 7,A,Edward Nketiah sent off for foul on James Justin,75th minute,FOR,Foul
Tottenham Hotspur,Man City,Aug. 17,A,City goal for Gabriel Jesus ruled out for handball in build-up by Aymeric Laporte,90th minute,FOR,Handball
Tottenham Hotspur,Leicester,Sept. 21,A,Goal disallowed for offside against Ayoze Perez,16th minute,FOR,Offside
Tottenham Hotspur,Leicester,Sept. 21,A,Son Heung-Min offside in build-up to Serge Aurier goal,64th minute,AGAINST,Offside
Tottenham Hotspur,Sheffield United,Nov. 9,H,Goal for David McGoldrick disallowed for offside in build-up by John Lundstram,60th minute,FOR,Offside
Tottenham Hotspur,West Ham,Nov. 23,A,Declan Rice goal disallowed for offside,89th minute,FOR,Offside
Tottenham Hotspur,Chelsea,Dec. 22,H,Penalty (scored by Willian) awarded for foul by Paulo Gazzaniga on Marcos Alonso,45th minute,AGAINST,Penalty
Tottenham Hotspur,Chelsea,Dec. 22,H,Son Heung-Min sent off for foul on Antonio Rudiger,62nd minute,AGAINST,Foul
Tottenham Hotspur,Brighton,Dec. 26,H,Harry Kane goal ruled out for offside,24th minute,AGAINST,Offside
Tottenham Hotspur,Norwich,Dec. 28,A,Teemu Pukki goal ruled out for offside,33rd minute,FOR,Offside
Tottenham Hotspur,Manchester City,Feb. 2,H,Penalty (missed by Ilkay Gundogan) awarded for foul by Serge Aurier on Sergio Aguero,38th minute,AGAINST,Penalty
Tottenham Hotspur,Aston Villa,Feb. 16,A,Penalty (missed by Son Heung-Min but scored on the rebound) awarded for foul by Bjorn Engels on Steven Bergwijn,45th minute,FOR,Penalty
Tottenham Hotspur,Man United,June 19,H,Penalty awarded for a foul on Bruno Fernandes overturned,91st minute,FOR,Penalty
Tottenham Hotspur,West Ham,June 23,H,Son Heung-Min goal disallowed for offside,45th minute,AGAINST,Offside
Tottenham Hotspur,Sheffield United,July 2,A,Goal for Harry Kane ruled out for handball in the build-up by Lucas Moura,32nd minute,AGAINST,Handball
Tottenham Hotspur,AFC Bournemouth,July 9,A,Goal for Callum Wilson ruled out for handball by Josh King,90th minute,FOR,Handball
Manchester City,West Ham,Aug. 10,A,City goal for Gabriel Jesus ruled out for an offside against Raheem Sterling earlier in the move,53rd minute,AGAINST,Offside
Manchester City,West Ham,Aug. 10,A,Missed City penalty retaken due to encroachment by Declan Rice. Retake scored by Sergio Aguero,86th minute,FOR,Penalty
Manchester City,Tottenham,Aug. 17,A,City goal for Gabriel Jesus ruled out for handball in build-up by Aymeric Laporte,90th minute,AGAINST,Handball
Manchester City,Man United,Dec. 7,H,Penalty awarded (scored by Marcus Rashford) for foul on Rashford by Bernardo Silva,23rd minute,AGAINST,Penalty
Manchester City,Wolves,Dec. 27,A,Penalty awarded (missed by Raheem Sterling) for foul on Riyad Mahrez by Leander Dendoncker,21st minute,FOR,Penalty
Manchester City,Wolves,Dec. 27,A,Missed City penalty retaken due to encroachment by Connor Coady . Retake scored by on rebound by Raheem Sterling,25th minute,FOR,Penalty
Manchester City,Sheffield United,Dec. 29,H,Goal for Lys Mousset ruled out for offside,29th minute,FOR,Offside
Manchester City,Everton,Jan. 1,H,Goal for Phil Foden ruled out for offside in build-up by Joao Cancelo,12th minute,AGAINST,Offside
Manchester City,Crystal Palace,Jan. 18,H,Penalty for handball against Jairo Riedewald cancelled,72nd minute,AGAINST,Penalty
Manchester City,Tottenham,Feb. 2,A,Penalty (missed by Ilkay Gundogan) awarded for foul by Serge Aurier on Sergio Aguero,38th minute,FOR,Penalty
Manchester City,Leicester,Feb. 22,A,Penalty (missed by Sergio Aguero) awarded for handball against Dennis Praet,minute,FOR,Penalty
Manchester City,Burnley,June 22,H,Penalty given (scored by Riyad Mahrez) for a foul by Ben Mee on Sergio Aguero,45th minute,FOR,Penalty
Manchester City,Chelsea,June 25,A,"Fernandinho sent off for deliberate handball on the goalline, penalty scored by Willian",77th minute,AGAINST,Penalty
Manchester City,Liverpool,July 2,H,City goal for Riyad Mahrez ruled out for handball by Phil Foden in the build-up,90th minute,AGAINST,Handball
Manchester City,Man City,July 15,A,"Man City penalty, for a foul on Gabriel Jesus by Steve Cook, overturned",71st minute,AGAINST,Penalty
Manchester City,Norwich,July 26,H,Goal for Onel Hernandez ruled out for offside,7th minute,FOR,Offside
Arsenal,Man United,Sept. 30,A,"Pierre-Emerick Aubameyang goal, originally ruled out for offside, overturned on review",58th minute,FOR,Offside
Arsenal,Crystal Palace,Oct. 27,H,Penalty awarded for foul by Calum Chambers on Wilfried Zaha (initially booked for diving),32nd minute,AGAINST,Penalty
Arsenal,Crystal Palace,Oct. 27,H,Sokratis goal disallowed for foul by Calum Chambers,83rd minute,AGAINST,Foul
Arsenal,Norwich,Dec. 1,A,Pierre-Emerick Aubameyang missed penalty retaken (and scored) following encroachment by a defender,29th minute,FOR,Penalty
Arsenal,Brighto,Dec. 5,H,David Luiz goal disallowed for offside,63rd minute,AGAINST,Offside
Arsenal,Crystal Palace,Jan. 11,A,Pierre-Emerick Aubameyang sent off for foul on Max Meyer,65th minute,AGAINST,Foul
Arsenal,West Ham,March 7,H,Alexandre Lacazette goal allowed after incorrect offside against Mesut Ozil,78th minute,FOR,Offside
Arsenal,Leicester,July 7,H,Edward Nketiah sent off for foul on James Justin,75th minute,AGAINST,Foul
Arsenal,Watford,July 26,H,Penalty (scored by Pierre-Emerick Aubameyang) awarded for foul by Craig Dawson on Alexandre Lacazette,2nd minute,FOR,Penalty
Everton,Brighton & Hove Albion,Oct. 26,A,Penalty awarded (scored by Neal Maupay) for foul on Aaron Connolly by Michael Keane,78th minute,AGAINST,Penalty
Everton,Leicester,Dec. 1,A,Penalty for foul on Ben Chilwell by Mason Holgate cancelled,34th minute,FOR,Penalty
Everton,Leicester,Dec. 1,A,"Kelechi Iheanacho effort, originally ruled offside, given as a goal",94th minute,AGAINST,Offside
Everton,Man City,Jan. 1,A,Goal for Phil Foden ruled out for offside in build-up by Joao Cancelo,12th minute,FOR,Offside
Everton,Brighton,Jan. 11,H,Goal for Dominic Calvert-Lewin ruled out for handball,75th minute,AGAINST,Handball
Everton,Man United,March 1,H,Goal for Everton disallowed for offside against Gylfi Sigurdsson in front of David De Gea,92nd minute,AGAINST,Offside
Everton,Leicester,July 1,H,Penalty awarded (scored by Gylfi Sigurdsson) for handball against Wilfred Ndidi,13th minute,FOR,Penalty
AFC Bournemouth,Southampton,Sept. 20,A,"Josh King scored for the Cherries, but he was offside",25th minute,AGAINST,Offside
AFC Bournemouth,West Ham,Sept. 28,H,"Josh King goal, originally ruled out for offside, cleared by the VAR",17th minute,FOR,Offside
AFC Bournemouth,Chelsea,Dec. 14,A,"Dan Gosling goal, originally disallowed for offside, given by the VAR",84th minute,FOR,Offside
AFC Bournemouth,Brighton,Dec. 28,A,Dan Burn goal ruled out for offside,58th minute,FOR,Offside
AFC Bournemouth,West Ham,Jan. 1,A,Aaron Cresswell red card downgraded to yellow,76th minute,AGAINST,Red Card
AFC Bournemouth,Norwich,Jan. 18,A,Red card for Ben Godfrey for foul on Callum Wilson,76th minute,FOR,Red Card
AFC Bournemouth,Burnley,Feb. 22,A,Goal for Josh King ruled out for handball in build-up by Philip Billing,22nd minute,AGAINST,Handball
AFC Bournemouth,Burnley,Feb. 22,A,"Goal for Harry Wilson ruled out for handball by Bournemouth's Adam Smith, penalty awarded and scored by Jay Rodriguez",57th minute,AGAINST,Penalty
AFC Bournemouth,Tottenham,July 9,H,Goal for Callum Wilson ruled out for handball by Josh King,90th minute,AGAINST,Handball
AFC Bournemouth,Man City,July 15,A,"Man City penalty, for a foul on Gabriel Jesus by Steve Cook, overturned",71st minute,FOR,Penalty
AFC Bournemouth,Southampton,July 19,H,Penalty awarded (missed by Danny Ings) for handball by Harry Wilson,57th minute,AGAINST,Penalty
AFC Bournemouth,Southampton,July 19,H,"Sam Surridge goal disallowed, Callum Wilson offside",94th minute,AGAINST,Offside
Chelsea,Norwich,Aug. 24,A,Chelsea goal for Kurt Zouma disallowed for a foul on the goalkeeper by Olivier Giroud,77th minute,AGAINST,Foul
Chelsea,Liverpool,Sept. 22,H,Goal ruled out after Mason Mount was offside in the build-up to Cesar Azpilicueta's goal,27th minute,AGAINST,Offside
Chelsea,Burnley,Oct. 26,A,Penalty overturned for diving by Callum Hudson-Odoi,76th minute,AGAINST,Penalty
Chelsea,Watford,Nov. 2,A,Penalty (scored by Deulofeu) awarded for foul by Jorginho for trip on Gerard Deulofeu,77th minute,AGAINST,Penalty
Chelsea,West Ham,Nov. 30,H,Goal for Michail Antonio ruled out for handball,67th minute,FOR,Handball
Chelsea,Bournemouth,Dec. 14,H,"Dan Gosling goal, originally disallowed for offside, given by the VAR",84th minute,AGAINST,Offside
Chelsea,Tottenham,Dec. 22,A,Penalty (scored by Willian) awarded for foul by Paulo Gazzaniga on Marcos Alonso,45th minute,FOR,Penalty
Chelsea,Tottenham,Dec. 22,A,Son Heung-Min sent off for foul on Antonio Rudiger,62nd minute,FOR,Foul
Chelsea,Manchester United,Feb. 17,H,Kurt Zouma goal disallowed for foul on Brandon Williams by Cesar Azpilicueta,55th minute,AGAINST,Foul
Chelsea,Manchester United,Feb. 17,H,Olivier Giroud goal disallowed for offside,77th minute,AGAINST,Offside
Chelsea,Manchester City,June 25,H,"Fernandinho sent off for deliberate handball on the goalline, penalty scored by Willian",77th minute,FOR,Penalty
Chelsea,West Ham,July 1,A,Tomas Soucek goal disallowed for offside against Michail Antonio,34th minute,FOR,Offside
Watford,Chelsea,Nov. 2,H,Penalty (scored by Deulofeu) awarded for trip on Gerard Deulofeu by Jorginho,77th minute,FOR,Penalty
Watford,Burnley,Nov. 23,H,Penalty (scored by Barnes) awarded for foul on Ashley Barnes by Jose Holebas,80th minute,AGAINST,Penalty
Watford,Liverpool,Dec. 14,A,Sadio Mane goal ruled out for offside,51st minute,FOR,Offside
Watford,Wolves,Jan. 1,H,Christian Kabasele sent off for professional foul after originally being booked,68th minute,AGAINST,Foul
Watford,Man United,Feb. 23,A,Goal for Troy Deeney disallowed for handball by Craig Dawson,52nd minute,AGAINST,Handball
Watford,Arsenal,July 26,A,Penalty (scored by Pierre-Emerick Aubameyang) awarded for foul by Craig Dawson on Alexandre Lacazette,2nd minute,AGAINST,Penalty
Aston Villa,Burnley,Sept. 28,H,"Goal for John McGinn ruled out on review, Conor Hourihane offside in build-up",25th minute,AGAINST,Offside
Aston Villa,Brighton,Oct. 19,H,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,42nd minute,AGAINST,Foul
Aston Villa,Sheffield United,Dec. 14,A,Penalty awarded (missed by Jack Grealish) for handball by John Egan,76th minute,FOR,Penalty
Aston Villa,Burnley,Jan. 1,A,"Goal for Villa's Jack Grealish ruled out on review, Wesley offside in build-up",11th minute,AGAINST,Offside
Aston Villa,Tottenham,Feb. 16,H,Penalty (missed by Son Heung-Min but scored on the rebound) awarded for foul by Bjorn Engels on Steven Bergwijn,45th minute,AGAINST,Penalty
Aston Villa,Crystal Palace,July 12,H,Mamadou Sakho goal ruled out for handball,7th minute,FOR,Handball
Aston Villa,Crystal Palace,July 12,H,"Penalty cancelled, awarded for foul on Jack Grealish by Patrick van Aanholt",47th minute,AGAINST,Penalty
West Ham,Man City,Aug. 10,H,City goal for Gabriel Jesus ruled out for an offside against Raheem Sterling earlier in the move,53rd minute,FOR,Offside
West Ham,Man City,Aug. 10,H,Missed City penalty retaken due to encroachment by Declan Rice. Retake scored by Sergio Aguero,86th minute,AGAINST,Penalty
West Ham,Brighton,Aug. 17,A,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",27th minute,FOR,Offside
West Ham,AFC Bournemouth,Sept. 28,A,"Josh King goal, originally ruled out for offside, cleared by the VAR",17th minute,AGAINST,Offside
West Ham,Crystal Palace,Oct. 5,H,Jordan Ayew goal awarded after originally being ruled out for offside,87th minute,AGAINST,Offside
West Ham,Burnley,Nov. 9,A,Chris Wood goal disallowed for offside,36th minute,FOR,Offside
West Ham,Tottenham,Nov. 23,H,Declan Rice goal disallowed for offside,89th minute,AGAINST,Offside
West Ham,Chelsea,Nov. 30,A,Goal for Michail Antonio ruled out for handball,67th minute,AGAINST,Handball
West Ham,Southampton,Dec. 14,A,Goal for Michail Antonio ruled out for handball,52nd minute,AGAINST,Handball
West Ham,Bournemouth,Jan. 1,H,Aaron Cresswell red card downgraded to yellow,76th minute,FOR,Red Card
West Ham,Sheffield United,Jan. 10,A,Goal for Robert Snodgrass ruled out for handball in the build-up by Declan Rice,90th minute,AGAINST,Handball
West Ham,Brighton & Hove Albion,Feb. 1,H,Goal for Glenn Murray allowed after incorrect handball,79th minute,AGAINST,Handball
West Ham,Arsenal,March 7,A,Alexandre Lacazette goal allowed after incorrect offside against Mesut Ozil,78th minute,AGAINST,Offside
West Ham,Tottenham,June 23,A,Son Heung-Min goal disallowed for offside,45th minute,FOR,Offside
West Ham,Chelsea,July 1,H,Tomas Soucek goal disallowed for offside against Michail Antonio,34th minute,AGAINST,Offside
West Ham,Man United,July 22,A,Penalty awarded for a handball by Paul Pogba (scored by Michael Antonio),45th minute,FOR,Penalty
Sheffield United,Southampton,Sept. 14,H,Oliver McBurnie's goal disallowed for offside,52nd minute,AGAINST,Offside
Sheffield United,Tottenham,Nov. 9,A,Goal for David McGoldrick disallowed for offside in build-up by John Lundstram,60th minute,AGAINST,Offside
Sheffield United,Newcastle,Dec. 5,H,"Jonjo Shelvey goal, originally ruled out for offside, cleared by the VAR",70th minute,AGAINST,Offside
Sheffield United,Norwich,Dec. 8,A,Red card for Chris Basham rescinded,74th minute,FOR,Red Card
Sheffield United,Aston Villa,Dec. 14,H,Penalty awarded (missed by Jack Grealish) for handball by John Egan,76th minute,AGAINST,Penalty
Sheffield United,Brighton,Dec. 21,A,John Egan goal ruled out for handball,8th minute,AGAINST,Handball
Sheffield United,Brighton,Dec. 21,A,Jack O'Connell goal disallowed for offside,54th minute,AGAINST,Offside
Sheffield United,Manchester City,Dec. 29,A,Goal for Lys Mousset ruled out for offside,29th minute,AGAINST,Offside
Sheffield United,West Ham,Jan. 10,H,Goal for Robert Snodgrass ruled out for handball in the build-up by Declan Rice,90th minute,FOR,Handball
Sheffield United,Crystal Palace,Feb. 1,A,Red card for Joel Ward rescinded,74th minute,AGAINST,Red Card
Sheffield United,Tottenham,July 2,H,Goal for Harry Kane ruled out for handball in the build-up by Lucas Moura,32nd minute,FOR,Handball
Wolves,Leicester,Aug. 11,A,Wolves goal for Leander Dendoncker disallowed for handball in build-up by Willy Boly,51st minute,AGAINST,Handball
Wolves,Southampton,Oct. 19,H,Raul Jimenez goal ruled out for offside against Patrick Cutrone,42nd minute,AGAINST,Offside
Wolves,Man City,Dec. 27,H,Penalty awarded (missed by Raheem Sterling) for foul on Riyad Mahrez by Leander Dendoncker,21st minute,AGAINST,Penalty
Wolves,Man City,Dec. 27,H,Missed City penalty retaken due to encroachment by Connor Coady . Retake scored by on rebound by Raheem Sterling,25th minute,AGAINST,Penalty
Wolves,Liverpool,Dec. 29,A,Goal for Sadio Mane given after originally ruled out for handball by Adam Lallana,42nd minute,AGAINST,Handball
Wolves,Liverpool,Dec. 29,A,Goal for Pedro Neto ruled out for offside in the build-up by Jonny,45th minute,AGAINST,Offside
Wolves,Watford,Jan. 1,A,Christian Kabasele sent off for professional foul after originally being booked,68th minute,FOR,Foul
Wolves,Southampton,Jan. 18,A,Penalty awarded (scored by Raul Jimenez) for foul on Jonny by Jack Stephens,65th minute,FOR,Penalty
Wolves,Leicester,Feb. 14,A,Wolves goal for Willy Boly disallowed for offside in build-up by Pedro Neto,44th minute,AGAINST,Offside
Norwich City,Chelsea,Aug. 24,H,Chelsea goal for Kurt Zouma disallowed for a foul on the goalkeeper by Olivier Giroud,77th minute,FOR,Foul
Norwich City,Man United,Oct. 27,H,Penalty awarded (missed by Marcus Rashford) for foul on Daniel James by Ben Godfrey,25th minute,AGAINST,Penalty
Norwich City,Man United,Oct. 27,H,Penalty awarded (missed by Anthony Martial) for handball by Todd Cantwell,41st minute,AGAINST,Penalty
Norwich City,Arsenal,Dec. 1,H,Pierre-Emerick Aubameyang missed penalty retaken (and scored) following encroachment by a defender,29th minute,AGAINST,Penalty
Norwich City,Sheffield United,Dec. 8,H,Red card for Chris Basham rescinded,74th minute,AGAINST,Red Card
Norwich City,Tottenham,Dec. 28,H,Teemu Pukki goal ruled out for offside,33rd minute,AGAINST,Offside
Norwich City,Crystal Palace,Jan. 1,H,Connor Wickham goal awarded after originally being ruled out for offside,85th minute,AGAINST,Offside
Norwich City,Bournemouth,Jan. 18,H,Red card for Ben Godfrey for foul on Callum Wilson,76th minute,AGAINST,Red Card
Norwich City,Leicester,Feb. 28,H,Goal for Kelechi Iheanacho disallowed for handball,49th minute,FOR,Handball
Norwich City,Burnley,July 18,H,Red card for Emiliano Buendia for an elbow on Ashley Westwood,33rd minute,AGAINST,Red Card
Norwich City,Man City,July 26,A,Goal for Onel Hernandez ruled out for offside,7th minute,AGAINST,Offside
